rank	user_id	point
1	besukohu	407350714492478661
2	Shun_PI	396545327386479324
3	ichyo	272084137018392576
4	montplusa	258384310479141747
5	gobi	217225487265054900
6	luzhiled	106381440260997038
7	Imadakedabuchitabemi	104486072090065352
8	take000	84792007300374806
9	highjump	72048014520891784
10	Koi51	43027969794811428
11	takumi152	40809455921414364
12	ohuton_labo	19842012290550344
13	poka	15767321665371826
14	yokozuna57	15680782107921208
15	mosoon	13839409164954960
16	kuma	10150297922144406
17	physics0523	9297255643090192
18	kotamanegi	9294287310928378
19	eijirou	7950742596183054
20	tumoiyorozu	7581826636664205
21	igeee	6403558136762448
22	unsre	5864996542529564
23	Luft256	5561887285664604
24	yunix	5464373709678876
25	Ang107	5286413020908904
26	tmb	5252098118456416
27	matsu7874	5183357012715756
28	bono	5075494690662792
29	sor4chi	4675300323318772
30	y_kawano	4398851737092096
31	hato_	4005887642873616
32	Akari	3801641092241408
33	Ueddy	3725706852962259
34	mtsd	3562645558804504
35	EvbCFfp1XB	3298111927743398
36	ikoma	3196244000162136
37	chimaki	3072129776772160
38	through	2916987654571746
39	winter	2895306378832586
40	hiikunZ	2826902253545208
41	shim0	2818662329211901
42	kumk	2705559884626082
43	mmrz	2582475022674485
44	tipstar0125	2526944596980748
45	cho57020	2502092964149674
46	shotoyoo	2459487775531346
47	bigsea	2300886464784629
48	nikuroll	2274494471493131
49	titia	2253482898563568
50	yozora184	2227393913706202
51	tardigrade	2155783500732870
52	atms	2116606363642581
53	arfz	2102187832030396
54	kaliafluorido	1968408852761572
55	peroon	1950503908240728
56	PhantasMoon	1947323496087552
57	kawasin73	1928526074167502
58	ebicochineal	1921188082725880
59	matsuu	1894156322093902
60	graaco	1892471846870742
61	itigo	1876491347075072
62	aoblue2547	1827961612394704
63	a2stnk	1705189768873184
64	fujiyama	1673801927881920
65	tttttyy__2024	1613757797154848
66	aokabi	1535303694483456
67	cyan0515	1453877256868128
68	ryuto800	1187904850559768
69	aaaaaaaaaa2230	1158937580386064
70	u_kun	1134040728138592
71	kouta	1088404465058048
72	FplusFplusF	279900933693992
73	askr_58	202203545199804
74	YuuuT	17223631142180
75	tombo314	8017519933728
76	yuuDot	3838769504512
77	Hikari30	108143064736
78	satanic0258	75016778892
79	atofujiosukai2	50800350464
