game_id	rank	user_id	score
4	1	matsuu	9
4	2	hiikunZ	8
5	1	hiikunZ	10
5	2	matsuu	8
6	1	matsuu	10
6	2	hiikunZ	8
7	1	hiikunZ	8
7	2	matsuu	6
8	1	matsuu	8
8	2	hiikunZ	7
9	1	hiikunZ	10
9	2	yozora184	7
9	3	Shun_PI	6
9	4	kawasin73	5
9	5	matsuu	5
10	1	kawasin73	12
10	2	matsuu	11
10	3	physics0523	11
10	4	hiikunZ	8
10	5	yozora184	6
10	6	Shun_PI	5
11	1	kawasin73	10
11	2	tumoiyorozu	9
11	3	physics0523	8
11	4	matsuu	8
11	5	yozora184	7
11	6	hiikunZ	7
11	7	Shun_PI	6
12	1	Shun_PI	11
12	2	tumoiyorozu	11
12	3	kawasin73	9
12	4	physics0523	8
12	5	matsuu	8
12	6	hiikunZ	7
12	7	yozora184	6
13	1	hiikunZ	11
13	2	kotamanegi	11
13	3	tumoiyorozu	11
13	4	matsuu	10
13	5	kawasin73	9
13	6	Shun_PI	9
13	7	yozora184	8
13	8	physics0523	3
14	1	kawasin73	11
14	2	kotamanegi	9
14	3	tumoiyorozu	9
14	4	physics0523	9
14	5	matsuu	8
14	6	hiikunZ	8
14	7	yozora184	7
14	8	Shun_PI	5
15	1	matsuu	12
15	2	kotamanegi	11
15	3	atms	11
15	4	tumoiyorozu	11
15	5	hiikunZ	9
15	6	physics0523	9
15	7	kawasin73	7
15	8	yozora184	5
15	9	Shun_PI	5
16	1	hiikunZ	12
16	2	matsuu	11
16	3	atms	10
16	4	physics0523	9
16	5	tumoiyorozu	9
16	6	yozora184	9
16	7	Shun_PI	9
16	8	kotamanegi	8
16	9	montplusa	7
16	10	unsre	6
16	11	kawasin73	5
17	1	kawasin73	13
17	2	montplusa	11
17	3	matsuu	9
17	4	unsre	9
17	5	hiikunZ	9
17	6	yozora184	9
17	7	tumoiyorozu	9
17	8	kotamanegi	8
17	9	Shun_PI	7
17	10	physics0523	7
17	11	atms	7
17	12	bono	6
18	1	matsuu	10
18	2	Shun_PI	9
18	3	hiikunZ	9
18	4	tumoiyorozu	9
18	5	unsre	9
18	6	atms	9
18	7	bono	8
18	8	yozora184	8
18	9	physics0523	8
18	10	montplusa	7
18	11	kawasin73	6
18	12	kotamanegi	6
18	13	besukohu	6
19	1	Imadakedabuchitabemi	9
19	2	tumoiyorozu	9
19	3	unsre	9
19	4	atms	9
19	5	Shun_PI	9
19	6	mmrz	9
19	7	graaco	8
19	8	bono	8
19	9	kawasin73	8
19	10	physics0523	7
19	11	yozora184	7
19	12	matsuu	6
19	13	montplusa	6
19	14	besukohu	6
19	15	hiikunZ	5
19	16	nikuroll	5
19	17	kotamanegi	5
20	1	Imadakedabuchitabemi	10
20	2	montplusa	10
20	3	matsuu	10
20	4	unsre	10
20	5	atms	10
20	6	hiikunZ	9
20	7	yozora184	9
20	8	mmrz	9
20	9	kotamanegi	9
20	10	besukohu	9
20	11	bono	9
20	12	nikuroll	9
20	13	physics0523	8
20	14	graaco	8
20	15	tumoiyorozu	7
20	16	kawasin73	7
20	17	Shun_PI	7
21	1	physics0523	11
21	2	nikuroll	10
21	3	montplusa	10
21	4	hiikunZ	10
21	5	Shun_PI	10
21	6	mmrz	10
21	7	tumoiyorozu	9
21	8	Imadakedabuchitabemi	9
21	9	matsuu	9
21	10	bono	9
21	11	yozora184	9
21	12	unsre	9
21	13	besukohu	9
21	14	atms	8
21	15	kawasin73	8
21	16	winter	8
21	17	graaco	7
21	18	kotamanegi	5
22	1	yozora184	9
22	2	matsuu	9
22	3	besukohu	9
22	4	kotamanegi	8
22	5	unsre	8
22	6	kawasin73	8
22	7	atms	8
22	8	nikuroll	8
22	9	Shun_PI	8
22	10	hiikunZ	8
22	11	winter	7
22	12	montplusa	7
22	13	Imadakedabuchitabemi	7
22	14	graaco	7
22	15	physics0523	6
22	16	tumoiyorozu	6
22	17	bono	6
22	18	mmrz	6
23	1	FplusFplusF	10
23	2	hiikunZ	10
23	3	Shun_PI	10
23	4	kotamanegi	9
23	5	graaco	9
23	6	matsuu	9
23	7	physics0523	9
23	8	Imadakedabuchitabemi	8
23	9	unsre	8
23	10	tumoiyorozu	8
23	11	besukohu	8
23	12	nikuroll	8
23	13	yozora184	8
23	14	mmrz	7
23	15	kawasin73	7
23	16	winter	7
23	17	bono	7
23	18	atms	7
23	19	montplusa	5
24	1	kotamanegi	13
24	2	graaco	12
24	3	matsuu	11
24	4	bono	9
24	5	montplusa	9
24	6	hiikunZ	9
24	7	Imadakedabuchitabemi	9
24	8	kawasin73	9
24	9	unsre	9
24	10	Shun_PI	9
24	11	yozora184	9
24	12	physics0523	8
24	13	besukohu	8
24	14	tumoiyorozu	8
24	15	FplusFplusF	8
24	16	winter	7
24	17	atms	7
24	18	Ueddy	7
24	19	mmrz	7
24	20	nikuroll	6
25	1	tumoiyorozu	13
25	2	hiikunZ	13
25	3	kawasin73	12
25	4	Imadakedabuchitabemi	11
25	5	Shun_PI	11
25	6	yozora184	11
25	7	nikuroll	10
25	8	physics0523	10
25	9	FplusFplusF	10
25	10	montplusa	9
25	11	besukohu	9
25	12	unsre	8
25	13	kotamanegi	8
25	14	matsuu	8
25	15	bono	8
25	16	winter	7
25	17	Ueddy	7
25	18	mmrz	7
25	19	atms	6
25	20	graaco	6
26	1	unsre	11
26	2	tumoiyorozu	10
26	3	graaco	10
26	4	atms	10
26	5	physics0523	9
26	6	hiikunZ	9
26	7	nikuroll	9
26	8	mmrz	9
26	9	montplusa	9
26	10	besukohu	9
26	11	matsuu	8
26	12	Imadakedabuchitabemi	8
26	13	kawasin73	7
26	14	kotamanegi	7
26	15	Ueddy	7
26	16	bigsea	7
26	17	winter	7
26	18	Shun_PI	6
26	19	bono	6
26	20	FplusFplusF	5
26	21	yozora184	3
27	1	winter	10
27	2	yozora184	10
27	3	Shun_PI	9
27	4	matsuu	9
27	5	unsre	9
27	6	FplusFplusF	9
27	7	bono	8
27	8	besukohu	8
27	9	bigsea	8
27	10	mmrz	8
27	11	kotamanegi	8
27	12	montplusa	7
27	13	physics0523	7
27	14	Ang107	7
27	15	atms	7
27	16	Ueddy	7
27	17	Imadakedabuchitabemi	7
27	18	graaco	7
27	19	tumoiyorozu	6
27	20	nikuroll	6
27	21	hiikunZ	5
27	22	kawasin73	3
28	1	FplusFplusF	12
28	2	yozora184	10
28	3	hiikunZ	10
28	4	besukohu	9
28	5	montplusa	9
28	6	matsuu	9
28	7	unsre	9
28	8	kawasin73	9
28	9	bigsea	8
28	10	winter	8
28	11	physics0523	8
28	12	kotamanegi	8
28	13	gobi	8
28	14	Shun_PI	7
28	15	Imadakedabuchitabemi	7
28	16	atms	7
28	17	graaco	7
28	18	Ang107	7
28	19	tumoiyorozu	7
28	20	bono	7
28	21	nikuroll	6
28	22	mmrz	6
28	23	Ueddy	4
29	1	Imadakedabuchitabemi	10
29	2	graaco	10
29	3	Shun_PI	10
29	4	unsre	9
29	5	yozora184	9
29	6	physics0523	9
29	7	nikuroll	9
29	8	hiikunZ	9
29	9	besukohu	8
29	10	kotamanegi	8
29	11	tumoiyorozu	8
29	12	Ang107	8
29	13	bono	8
29	14	FplusFplusF	8
29	15	winter	8
29	16	montplusa	8
29	17	atms	8
29	18	gobi	8
29	19	matsuu	7
29	20	bigsea	7
29	21	matsu7874	7
29	22	kawasin73	7
29	23	Ueddy	6
29	24	mmrz	4
30	1	graaco	11
30	2	tumoiyorozu	10
30	3	winter	10
30	4	bono	9
30	5	matsu7874	9
30	6	FplusFplusF	9
30	7	yozora184	9
30	8	mmrz	9
30	9	montplusa	9
30	10	physics0523	9
30	11	atms	9
30	12	matsuu	9
30	13	nikuroll	8
30	14	kotamanegi	8
30	15	Shun_PI	8
30	16	kawasin73	8
30	17	mtsd	8
30	18	Ueddy	8
30	19	gobi	7
30	20	Ang107	7
30	21	hiikunZ	7
30	22	besukohu	7
30	23	shim0	7
30	24	unsre	7
30	25	bigsea	7
30	26	Imadakedabuchitabemi	6
31	1	kawasin73	10
31	2	winter	10
31	3	Ueddy	10
31	4	graaco	9
31	5	bigsea	9
31	6	gobi	9
31	7	tumoiyorozu	9
31	8	kotamanegi	9
31	9	bono	9
31	10	matsu7874	9
31	11	montplusa	9
31	12	shim0	9
31	13	Ang107	9
31	14	nikuroll	9
31	15	yozora184	8
31	16	FplusFplusF	8
31	17	physics0523	8
31	18	Shun_PI	8
31	19	atms	8
31	20	mtsd	8
31	21	unsre	8
31	22	hiikunZ	8
31	23	besukohu	8
31	24	YuuuT	8
31	25	matsuu	7
31	26	Imadakedabuchitabemi	6
31	27	mmrz	4
32	1	Ueddy	13
32	2	YuuuT	12
32	3	atms	12
32	4	matsu7874	11
32	5	montplusa	11
32	6	shim0	11
32	7	matsuu	10
32	8	gobi	10
32	9	physics0523	10
32	10	mtsd	9
32	11	FplusFplusF	8
32	12	bono	8
32	13	mmrz	8
32	14	Shun_PI	8
32	15	graaco	8
32	16	kawasin73	8
32	17	tumoiyorozu	8
32	18	bigsea	8
32	19	unsre	7
32	20	winter	7
32	21	kotamanegi	7
32	22	nikuroll	7
32	23	yozora184	7
32	24	hiikunZ	7
32	25	Imadakedabuchitabemi	7
32	26	Ang107	6
32	27	besukohu	6
33	1	tumoiyorozu	14
33	2	matsuu	12
33	3	mmrz	11
33	4	YuuuT	11
33	5	kawasin73	11
33	6	hiikunZ	11
33	7	Shun_PI	11
33	8	unsre	10
33	9	Imadakedabuchitabemi	10
33	10	FplusFplusF	10
33	11	bono	10
33	12	graaco	10
33	13	Ang107	9
33	14	mtsd	9
33	15	bigsea	9
33	16	besukohu	8
33	17	matsu7874	8
33	18	shim0	8
33	19	gobi	8
33	20	winter	8
33	21	nikuroll	8
33	22	Ueddy	8
33	23	kotamanegi	8
33	24	eijirou	8
33	25	physics0523	7
33	26	montplusa	7
33	27	atms	7
33	28	yozora184	6
34	1	Imadakedabuchitabemi	11
34	2	Shun_PI	10
34	3	bigsea	10
34	4	kotamanegi	10
34	5	unsre	9
34	6	yozora184	9
34	7	eijirou	9
34	8	shim0	9
34	9	Ueddy	9
34	10	kawasin73	9
34	11	gobi	8
34	12	mtsd	8
34	13	nikuroll	8
34	14	YuuuT	8
34	15	graaco	8
34	16	winter	8
34	17	matsuu	8
34	18	bono	8
34	19	mmrz	8
34	20	matsu7874	8
34	21	physics0523	7
34	22	Ang107	7
34	23	atms	7
34	24	tumoiyorozu	7
34	25	takumi152	7
34	26	FplusFplusF	7
34	27	besukohu	7
34	28	montplusa	7
34	29	hiikunZ	6
35	1	hiikunZ	12
35	2	nikuroll	11
35	3	mtsd	11
35	4	FplusFplusF	11
35	5	matsu7874	10
35	6	bono	10
35	7	physics0523	9
35	8	graaco	9
35	9	gobi	9
35	10	Ang107	9
35	11	Shun_PI	9
35	12	Ueddy	9
35	13	eijirou	8
35	14	matsuu	8
35	15	Imadakedabuchitabemi	8
35	16	atms	8
35	17	mmrz	8
35	18	YuuuT	8
35	19	shim0	8
35	20	takumi152	8
35	21	kotamanegi	8
35	22	winter	7
35	23	unsre	6
35	24	yozora184	6
35	25	kawasin73	6
35	26	montplusa	6
35	27	besukohu	6
35	28	tumoiyorozu	5
36	1	mmrz	12
36	2	graaco	11
36	3	tipstar0125	11
36	4	winter	11
36	5	besukohu	11
36	6	matsuu	10
36	7	kawasin73	10
36	8	physics0523	10
36	9	bigsea	10
36	10	yozora184	10
36	11	bono	10
36	12	eijirou	9
36	13	takumi152	9
36	14	hiikunZ	8
36	15	Imadakedabuchitabemi	8
36	16	atms	8
36	17	tumoiyorozu	8
